aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
,2008_007265_1_bicycle,,,2008_007704_1_bottle,,,,2009_000198_2_chair,,,,,,,2009_005070_2_pottedplant,,,,
,2010_003379_1_bicycle,,,2010_002668_1_bottle,,,,2009_001856_4_chair,,,,,,,2011_001611_1_pottedplant,,,,
,2010_004182_1_bicycle,,,2011_002920_10_bottle,,,,2008_006151_4_chair,,,,,,,2008_000274_1_pottedplant,,,,
,2011_002713_1_bicycle,,,2010_002127_1_bottle,,,,2009_002003_3_chair,,,,,,,2011_002453_1_pottedplant,,,,
,2009_002779_1_bicycle,,,2011_002798_2_bottle,,,,2010_005746_2_chair,,,,,,,2008_008220_1_pottedplant,,,,
,2009_003519_1_bicycle,,,2008_005677_8_bottle,,,,2009_001028_1_chair,,,,,,,2011_002350_2_pottedplant,,,,
,2009_002438_1_bicycle,,,2007_009630_5_bottle,,,,2008_006300_2_chair,,,,,,,2011_002386_1_pottedplant,,,,
,2009_003381_1_bicycle,,,2008_001130_1_bottle,,,,2009_002613_4_chair,,,,,,,2008_000564_1_pottedplant,,,,
,2009_005178_1_bicycle,,,2010_000721_1_bottle,,,,2008_007780_1_chair,,,,,,,2008_005794_1_pottedplant,,,,
,2010_003115_2_bicycle,,,2010_003603_2_bottle,,,,2009_004537_2_chair,,,,,,,2009_004554_1_pottedplant,,,,
,2010_005116_1_bicycle,,,2011_000747_17_bottle,,,,2009_001028_2_chair,,,,,,,2010_004029_2_pottedplant,,,,
,2009_000756_1_bicycle,,,2009_004162_4_bottle,,,,2010_004363_2_chair,,,,,,,2009_004283_2_pottedplant,,,,
,2009_000634_1_bicycle,,,2011_002911_3_bottle,,,,2008_004661_3_chair,,,,,,,2010_002733_1_pottedplant,,,,
,2009_005300_3_bicycle,,,2011_000996_11_bottle,,,,2008_004251_1_chair,,,,,,,2008_006701_4_pottedplant,,,,
,2008_000090_7_bicycle,,,2008_001333_5_bottle,,,,2009_002743_7_chair,,,,,,,2011_002810_26_pottedplant,,,,
,2008_000803_12_bicycle,,,2008_001304_2_bottle,,,,2009_003752_4_chair,,,,,,,2011_000145_1_pottedplant,,,,
,2010_005664_1_bicycle,,,2009_004656_9_bottle,,,,2008_001439_2_chair,,,,,,,2008_006509_2_pottedplant,,,,
,2009_004984_1_bicycle,,,2008_004991_2_bottle,,,,2008_003378_3_chair,,,,,,,2010_002830_1_pottedplant,,,,
,2007_000584_1_bicycle,,,2009_002204_2_bottle,,,,2008_000043_5_chair,,,,,,,2011_001022_2_pottedplant,,,,
,2009_002835_1_bicycle,,,2010_000944_3_bottle,,,,2009_003508_3_chair,,,,,,,2007_009630_2_pottedplant,,,,
,2007_003621_1_bicycle,,,2008_004418_5_bottle,,,,2009_000760_2_chair,,,,,,,2011_000468_1_pottedplant,,,,
,2010_003251_1_bicycle,,,2008_000885_1_bottle,,,,2009_003078_3_chair,,,,,,,2008_007831_15_pottedplant,,,,
,2007_001311_3_bicycle,,,2008_000648_3_bottle,,,,2008_002218_3_chair,,,,,,,2009_002755_3_pottedplant,,,,
,2011_002742_1_bicycle,,,2010_001680_2_bottle,,,,2010_004962_1_chair,,,,,,,2007_004948_4_pottedplant,,,,
,2008_000803_11_bicycle,,,2010_004680_1_bottle,,,,2008_007194_3_chair,,,,,,,2011_000530_1_pottedplant,,,,
,2007_001311_4_bicycle,,,2011_000747_12_bottle,,,,2010_001853_5_chair,,,,,,,2008_007108_3_pottedplant,,,,
,2009_005064_1_bicycle,,,2011_002610_1_bottle,,,,2010_003115_1_chair,,,,,,,2008_006950_1_pottedplant,,,,
,2010_004072_1_bicycle,,,2010_002269_4_bottle,,,,2010_002538_1_chair,,,,,,,2008_004003_2_pottedplant,,,,
,2011_002111_1_bicycle,,,2008_001312_5_bottle,,,,2009_001371_1_chair,,,,,,,2009_001934_8_pottedplant,,,,
,2007_006661_1_bicycle,,,2009_001593_1_bottle,,,,2009_003694_1_chair,,,,,,,2010_000470_4_pottedplant,,,,
,2009_001364_1_bicycle,,,2007_003207_7_bottle,,,,2008_001439_3_chair,,,,,,,2009_004745_1_pottedplant,,,,
,2009_003075_1_bicycle,,,2010_003731_5_bottle,,,,2009_004244_1_chair,,,,,,,2008_000790_3_pottedplant,,,,
,2011_001937_1_bicycle,,,2008_002005_1_bottle,,,,2009_004243_1_chair,,,,,,,2011_000530_3_pottedplant,,,,
,2010_003828_2_bicycle,,,2009_004656_4_bottle,,,,2009_003520_6_chair,,,,,,,2009_005310_7_pottedplant,,,,
,2007_007447_7_bicycle,,,2011_002462_7_bottle,,,,2009_003508_4_chair,,,,,,,2007_007624_1_pottedplant,,,,
,2009_004121_1_bicycle,,,2007_000250_2_bottle,,,,2010_000349_1_chair,,,,,,,2007_004948_1_pottedplant,,,,
,2008_008357_3_bicycle,,,2008_000051_5_bottle,,,,2010_004879_1_chair,,,,,,,2010_003667_1_pottedplant,,,,
,2009_002119_1_bicycle,,,2010_003304_1_bottle,,,,2010_004361_2_chair,,,,,,,2008_000790_2_pottedplant,,,,
,2008_008711_1_bicycle,,,2011_003066_1_bottle,,,,2009_001608_5_chair,,,,,,,2007_001154_2_pottedplant,,,,
,2009_003187_1_bicycle,,,2011_002920_8_bottle,,,,2009_004746_1_chair,,,,,,,2010_000800_3_pottedplant,,,,
,2009_000281_1_bicycle,,,2011_000747_13_bottle,,,,2008_006660_2_chair,,,,,,,2008_008237_1_pottedplant,,,,
,2010_001049_2_bicycle,,,2009_002749_1_bottle,,,,2008_005848_1_chair,,,,,,,2009_005310_3_pottedplant,,,,
,2009_002087_1_bicycle,,,2009_004579_1_bottle,,,,2010_001574_2_chair,,,,,,,2008_005001_1_pottedplant,,,,
,2009_004508_1_bicycle,,,2009_003269_2_bottle,,,,2009_000298_2_chair,,,,,,,2008_007831_7_pottedplant,,,,
,2007_002227_2_bicycle,,,2011_002920_11_bottle,,,,2009_000816_2_chair,,,,,,,2011_000747_1_pottedplant,,,,
,2010_003148_1_bicycle,,,2010_004197_1_bottle,,,,2009_005080_1_chair,,,,,,,2008_008237_2_pottedplant,,,,
,2008_005412_1_bicycle,,,2008_001312_3_bottle,,,,2009_002571_2_chair,,,,,,,2008_001467_2_pottedplant,,,,
,2007_007447_5_bicycle,,,2010_003017_1_bottle,,,,2009_002487_5_chair,,,,,,,2008_005914_4_pottedplant,,,,
,2010_002720_1_bicycle,,,2008_001077_2_bottle,,,,2009_002487_4_chair,,,,,,,2011_001719_1_pottedplant,,,,
,2011_001138_1_bicycle,,,2009_004432_1_bottle,,,,2009_000188_2_chair,,,,,,,2008_000287_2_pottedplant,,,,
,2011_001271_1_bicycle,,,2008_004145_1_bottle,,,,2009_005257_2_chair,,,,,,,2009_002688_1_pottedplant,,,,
,2009_001840_1_bicycle,,,2008_002079_2_bottle,,,,2008_007166_2_chair,,,,,,,2009_002386_2_pottedplant,,,,
,2007_005107_1_bicycle,,,2008_004501_4_bottle,,,,2010_000658_2_chair,,,,,,,2011_000875_2_pottedplant,,,,
,2008_000191_4_bicycle,,,2008_006111_3_bottle,,,,2009_001434_6_chair,,,,,,,2008_006509_1_pottedplant,,,,
,2009_001642_1_bicycle,,,2010_001819_3_bottle,,,,2010_004278_2_chair,,,,,,,2008_004634_1_pottedplant,,,,
,2010_000083_1_bicycle,,,2011_002863_2_bottle,,,,2009_000816_1_chair,,,,,,,2007_006605_8_pottedplant,,,,
